age_group,experience_years,disability_types,num_disabled_students,primary_age_group,specialized_training,curriculum_percentage,What additional learning support do these students require? (Select all that apply) ,difficult_skills,hands_on_learning,social_difficulties,What social challenges do they face the most? (Select all that apply) ,psychological_support,work_skills,career_exploration,career_interest,life_skills_training,career_topics,career_curiosity,career_activities,basic_life_skills,assistive_tech_use,assistive_tech_types,tech_comfort,parental_involvement,home_learning_support,family_involvement_academic,career_challenges,work_support_needed,future_challenges,adulthood_support,government_support,additional_comment,sentiment_label,sentiment_score
41 - 50,10+ years,Physical disability,30 - 40,14 - 18,"Yes, formal training (degree/certification)",0 - 20 %,Special education programs;Extra tutoring or individualized learning plans,Communication and social interaction;Problem-solving and critical thinking;Physical/motor skills,Often,"No, they interact well with others",Anxiety in group settings;Low self-confidence,"Yes, regularly","Yes, frequently","Yes, multiple times a year",About half,"Yes, regularly","Yes, regularly",A few students express interest,Field trips to workplaces;Guest speakers (professionals sharing experiences);Hands-on projects related to real-world jobs;Role-playing job scenarios,"Yes, regularly taught","Yes, frequently",Special keyboards/mice for motor disabilities,"Yes, comfortable",Not involved at all,"No, they rely entirely on teachers","Yes, slightly",Difficulty with higher education access;Workplace discrimination,More life skills training in schools;Programs for self-confidence and leadership development,Discrimination in workplaces;Lack of independent living skills,Government policies promoting disability employment,Yes,,Neutral,0
41 - 50,10+ years,Sensory disability (hearing/vision impairment),30 - 40,41579,"Yes, formal training (degree/certification)",0 - 20 %,"Assistive technology (speech-to-text, screen readers, etc.);Extra tutoring or individualized learning plans",Reading and writing;Math and logical reasoning,Always,"Yes, sometimes",Difficulty making friends;Anxiety in group settings,"Yes, regularly","Yes, frequently","Yes, multiple times a year",A few,"Yes, regularly","Yes, regularly",A few students express interest,Field trips to workplaces;Guest speakers (professionals sharing experiences),"Yes, regularly taught","Yes, frequently",Screen readers & audiobooks;Speech-to-text tools;Special keyboards/mice for motor disabilities;Visual aids and magnification tools,"Yes, comfortable",Somewhat involved (occasional participation),"No, they rely entirely on teachers","Yes, significantly",Difficulty with higher education access;Workplace discrimination,Government policies encouraging inclusive hiring,Discrimination in workplaces,Government policies promoting disability employment,Yes,,Neutral,0
31 - 40,3 - 5 years,Sensory disability (hearing/vision impairment);Mental health conditions;Multiple disabilities,20 - 30,45938,"Yes, formal training (degree/certification)",0 - 20 %,Special education programs,Reading and writing,Often,"Yes, very often",Anxiety in group settings,"Yes, regularly","Yes, frequently","Yes, multiple times a year",Almost none,"Yes, regularly","Yes, regularly","Yes, many students are interested",Field trips to workplaces;Guest speakers (professionals sharing experiences),"Yes, regularly taught","Yes, frequently",Screen readers & audiobooks;Speech-to-text tools;Visual aids and magnification tools,"Yes, comfortable","Very involved (regular meetings, active support)","Yes, they actively help with schoolwork","Yes, significantly",Difficulty with higher education access;Workplace discrimination;Employers' lack of accommodations,More life skills training in schools;Early exposure to career options;More accessibility in education and workplaces,Limited higher education options;Discrimination in workplaces;Lack of independent living skills,More vocational training,Yes,More inclusive spaces,Neutral,0
41 - 50,6 - 10 years,Sensory disability (hearing/vision impairment),20 - 30,45938,"Yes, formal training (degree/certification)",0 - 20 %,Special education programs,Reading and writing;Math and logical reasoning,Often,"No, they interact well with others",Difficulty making friends;Anxiety in group settings,"Yes, regularly","Yes, frequently","Yes, multiple times a year",Most of them,"No, not necessary at this stage","Yes, regularly","Yes, many students are interested",Field trips to workplaces;Guest speakers (professionals sharing experiences),"Yes, regularly taught","Yes, frequently",Screen readers & audiobooks,"Yes, comfortable",Somewhat involved (occasional participation),"Sometimes, but inconsistently","Yes, significantly",Workplace discrimination;Lack of independent living skills;Employers' lack of accommodations,More life skills training in schools;Early exposure to career options,Discrimination in workplaces;Lack of independent living skills,Career counseling & mentorship;Better employer awareness of disabilities,Yes,,Neutral,0
31 - 40,6 - 10 years,Sensory disability (hearing/vision impairment),20 - 30,45843,"Yes, formal training (degree/certification)",0 - 20 %,Special education programs;Emotional and social support,Communication and social interaction;Problem-solving and critical thinking,Often,"No, they interact well with others",Anxiety in group settings;Low self-confidence,"Yes, regularly","Yes, frequently","Yes, multiple times a year",About half,"Yes, regularly","Yes, regularly",A few students express interest,Hands-on projects related to real-world jobs;Role-playing job scenarios,"Yes, regularly taught","Yes, frequently",Speech-to-text tools,somewhat comfortable,Not involved at all,"No, they rely entirely on teachers","Yes, significantly",Difficulty with higher education access;Workplace discrimination;Lack of independent living skills;Employers' lack of accommodations,More life skills training in schools;More accessibility in education and workplaces;Government policies encouraging inclusive hiring,Discrimination in workplaces,Better employer awareness of disabilities;Government policies promoting disability employment,Yes,"They express intend in career and higher education, but are unable to pursue due to limited accessibility and lack of accommodation ",Negative,-0.6486
20 - 30,3 - 5 years,"Cognitive disability (dyslexia, ADHD, autism, etc.)",20 - 30,14 - 18,"Yes, formal training (degree/certification)",21 - 50 %,Emotional and social support,Communication and social interaction;Problem-solving and critical thinking,Often,"Yes, sometimes",Trouble understanding social cues,"Yes, regularly","Yes, frequently","Yes, multiple times a year",Most of them,"Yes, regularly","Yes, regularly","Yes, many students are interested",Guest speakers (professionals sharing experiences),"Yes, regularly taught","Yes, frequently",Screen readers & audiobooks;Speech-to-text tools,"Yes, comfortable",Somewhat involved (occasional participation),"No, they rely entirely on teachers","Yes, significantly",Lack of independent living skills;Employers' lack of accommodations,Government policies encouraging inclusive hiring,Limited higher education options;Lack of independent living skills,Government policies promoting disability employment,No,Existing policies focus on specific disabilities and the spectrum can be made bigger to include policies for kids with learning disabilities in higher education and corporate jobs,Neutral,0
41 - 50,10+ years,Mental health conditions,50 - 60,41579,"Yes, formal training (degree/certification)",21 - 50 %,Emotional and social support;Support from family and friends who are able bodied ,Reading and writing;Communication and social interaction;Problem-solving and critical thinking,Always,"Yes, sometimes",Low self-confidence,"Yes, regularly","Yes, frequently","Yes, multiple times a year",Most of them,"Yes, regularly","Yes, regularly","Yes, many students are interested",Field trips to workplaces,"Yes, regularly taught","Yes, frequently",Screen readers & audiobooks,"Yes, comfortable",Somewhat involved (occasional participation),"Sometimes, but inconsistently","Yes, significantly",Workplace discrimination;Lack of independent living skills,Government policies encouraging inclusive hiring,Discrimination in workplaces,More vocational training;Better employer awareness of disabilities;Government policies promoting disability employment,No,there is a severe lack of awareness amongst the masses for mental health related disabilities ,Negative,-0.5994
31 - 40,6 - 10 years,Physical disability,20 - 30,14 - 18,"Yes, formal training (degree/certification)",21 - 50 %,Emotional and social support,Physical/motor skills,Often,"Yes, very often",Making friends and interacting with able bodied folks in a social setting,"Yes, regularly","Yes, frequently","Yes, multiple times a year",Most of them,"Yes, regularly","Yes, regularly","Yes, many students are interested",Guest speakers (professionals sharing experiences),"Yes, regularly taught","Yes, frequently","Computers, laptop","Yes, comfortable",Somewhat involved (occasional participation),"Sometimes, but inconsistently","Yes, significantly",Employers' lack of accommodations,Government policies encouraging inclusive hiring,Discrimination in workplaces,Government policies promoting disability employment,Yes,"Despite the policies, social stigma and lack of accessibility beyond the school premises create an issue for the students to experience the same level of knowledge as a fully able bodied person",Negative,-0.0516
20 - 30,0 - 2 years,Multiple disabilities,45931,45843,"Yes, formal training (degree/certification)",0 - 20 %,Extra tutoring or individualized learning plans;More time for assignments/tests;Emotional and social support,Reading and writing;Math and logical reasoning;Communication and social interaction,Often,"Yes, very often",Difficulty making friends;Trouble understanding social cues;Low self-confidence,"Yes, regularly","Yes, frequently","Yes, multiple times a year",Most of them,"Yes, regularly","Yes, regularly","Yes, many students are interested",Field trips to workplaces;Guest speakers (professionals sharing experiences);Hands-on projects related to real-world jobs,"Yes, regularly taught","Yes, frequently",Speech-to-text tools;Special keyboards/mice for motor disabilities;Visual aids and magnification tools,"Yes, comfortable",Somewhat involved (occasional participation),"Sometimes, but inconsistently","Yes, significantly",Difficulty with higher education access;Workplace discrimination;Lack of independent living skills;Employers' lack of accommodations,Government policies encouraging inclusive hiring,Discrimination in workplaces;Lack of independent living skills,Government policies promoting disability employment,Yes,Social Stigma and severe discrimination ,Negative,-0.3818
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,0
