Disability_Type,Gender,Region,Socioeconomic_Status,Assistive_Tech_Use,Specialized_Training_Access,Parental_Involvement,Curriculum_Adaptation,Survival_to_Class10,Transition_to_Class12,Employment_Prospect
Blindness,Boys,Urban,Medium,Yes,Formal Training,High,Significant,0,0,1
Blindness,Boys,,Low,No,Formal Training,High,Significant,0,0,0
Low Vision,Boys,Urban,High,Yes,Workshop,Medium,None,1,0,1
Low Vision,Girls,Rural,High,Yes,Formal Training,Medium,,0,0,0
Low Vision,Boys,Urban,Low,No,Formal Training,Low,Some,0,0,0
Low Vision,Boys,,High,No,Workshop,Low,Significant,0,0,0
Low Vision,Boys,,Low,Yes,Formal Training,Medium,Some,0,0,0
Low Vision,Girls,,Low,No,None,High,None,0,0,1
Low Vision,Boys,Rural,High,Yes,None,High,Significant,0,0,1
Low Vision,Boys,Urban,Low,Yes,Workshop,High,None,0,0,1
Low Vision,Boys,Rural,High,Yes,Workshop,,,0,0,1
Low Vision,Girls,Rural,Medium,No,Workshop,Low,Some,1,1,0
Low Vision,Boys,Rural,Low,No,None,Medium,Significant,0,0,1
Low Vision,Boys,Rural,Medium,No,Formal Training,High,Significant,0,0,1
Low Vision,Boys,Rural,High,No,None,Low,,0,0,1
Low Vision,Boys,Rural,Medium,No,Workshop,High,None,1,0,1
Low Vision,Girls,Rural,Medium,Yes,Formal Training,Medium,,1,0,1
Low Vision,Boys,Rural,High,Yes,Formal Training,Low,None,1,1,1
Low Vision,Girls,Rural,Medium,Yes,None,Medium,None,1,0,0
Low Vision,Girls,Rural,Medium,Yes,Workshop,,Significant,1,0,0
Low Vision,Girls,Rural,High,,None,Low,Significant,1,1,1
Low Vision,Boys,Urban,Medium,Yes,Formal Training,Low,Some,1,1,0
Low Vision,Girls,Urban,High,No,None,Low,Some,0,0,0
Low Vision,Boys,Rural,Medium,Yes,None,Low,Significant,0,0,1
Low Vision,Girls,Rural,High,No,Workshop,Low,Significant,0,0,0
Low Vision,Girls,Rural,High,No,Workshop,Low,None,1,0,1
Low Vision,Girls,Rural,Medium,Yes,Formal Training,Low,None,1,0,0
Low Vision,Girls,Rural,Medium,Yes,None,High,Some,1,1,1
Low Vision,Girls,Rural,Medium,Yes,None,Medium,Significant,0,0,0
Low Vision,Girls,Rural,Low,Yes,None,Low,Some,1,0,1
Low Vision,Girls,Rural,Low,No,Formal Training,High,Significant,0,0,1
Low Vision,Girls,Urban,Low,Yes,Formal Training,High,,0,0,1
Low Vision,Boys,Rural,High,Yes,Workshop,,Some,1,0,0
Low Vision,Boys,Urban,Medium,No,Workshop,Medium,Some,1,1,0
Low Vision,Girls,Rural,High,Yes,Workshop,Low,Significant,0,0,1
Low Vision,Girls,Rural,Low,Yes,None,High,None,1,0,0
Low Vision,Girls,Urban,Medium,Yes,None,Medium,Some,0,0,0
Low Vision,Boys,Rural,High,Yes,Workshop,Medium,None,1,1,1
Low Vision,Girls,Urban,Medium,Yes,None,,Some,0,0,0
Low Vision,Boys,Rural,High,No,Workshop,High,None,0,0,0
Low Vision,Boys,Rural,Medium,Yes,Formal Training,Low,Significant,0,0,0
Low Vision,Boys,Urban,Low,,Workshop,High,Some,0,0,1
Hearing impairment,Boys,Rural,Low,Yes,Formal Training,High,Some,1,1,1
Hearing impairment,Girls,Urban,Medium,Yes,None,Low,None,0,0,0
Hearing impairment,Boys,Rural,High,Yes,Workshop,Low,None,0,0,1
Hearing impairment,Boys,Urban,Low,No,None,Low,Some,0,0,1
Hearing impairment,Boys,Urban,Low,Yes,Formal Training,Medium,,0,0,0
Hearing impairment,Girls,Rural,Low,No,Formal Training,Low,None,0,0,1
Hearing impairment,Boys,Rural,Medium,No,Formal Training,,None,1,0,1
Hearing impairment,Boys,Urban,Medium,Yes,None,,None,1,0,0
Hearing impairment,Boys,Rural,High,Yes,None,High,Some,1,0,0
Hearing impairment,Girls,Rural,High,Yes,None,Medium,Some,0,0,1
Hearing impairment,Boys,Rural,High,Yes,None,High,Some,0,0,1
Hearing impairment,Boys,Urban,Medium,No,Formal Training,High,Some,0,0,1
Hearing impairment,Boys,Urban,Medium,Yes,Formal Training,Low,Significant,0,0,0
Hearing impairment,Boys,,High,Yes,Workshop,,Significant,0,0,1
Hearing impairment,Girls,Urban,High,Yes,Workshop,High,Some,0,0,0
Hearing impairment,Boys,Urban,Medium,Yes,None,Low,Significant,0,0,0
Hearing impairment,Girls,Urban,High,Yes,Formal Training,Medium,None,0,0,1
Hearing impairment,Girls,Urban,Low,Yes,Formal Training,Medium,None,1,1,0
Hearing impairment,Girls,Urban,Medium,No,Formal Training,Low,None,1,1,1
Hearing impairment,Boys,Urban,High,No,Workshop,Medium,Some,1,0,1
Hearing impairment,Girls,,Medium,Yes,Workshop,Low,None,1,1,1
Hearing impairment,Boys,Urban,Low,Yes,Formal Training,High,Significant,1,1,0
Hearing impairment,Girls,,Medium,Yes,Formal Training,High,Some,0,0,1
Hearing impairment,Girls,Rural,Medium,No,Formal Training,Medium,Significant,0,0,1
Hearing impairment,Girls,Rural,Medium,Yes,Workshop,Low,None,1,1,0
Hearing impairment,Girls,Urban,Medium,No,Formal Training,Low,None,1,1,0
Hearing impairment,Girls,Urban,Low,Yes,Formal Training,Medium,None,1,1,0
Hearing impairment,Girls,Urban,Medium,Yes,None,High,Some,1,0,1
Hearing impairment,Girls,Urban,Medium,Yes,None,Medium,Significant,0,0,0
Hearing impairment,Girls,Rural,High,Yes,Workshop,High,Some,1,1,1
Hearing impairment,Boys,Urban,Medium,No,Formal Training,Low,Some,1,0,0
Hearing impairment,Boys,Urban,High,No,Formal Training,High,None,0,0,1
Hearing impairment,Girls,Urban,Low,,None,Medium,Some,1,0,1
Hearing impairment,Girls,Urban,Low,Yes,Workshop,Low,Some,0,0,1
Hearing impairment,Girls,Urban,Low,No,None,Medium,None,1,0,1
Hearing impairment,Boys,Rural,Low,No,None,Medium,Some,1,0,1
Hearing impairment,Girls,Urban,High,No,None,,None,0,0,1
Hearing impairment,Boys,Rural,Medium,No,None,Medium,,1,1,0
Hearing impairment,Boys,Urban,Low,Yes,Formal Training,High,None,0,0,1
Hearing impairment,Boys,Rural,Medium,No,Formal Training,Low,None,1,0,1
Speech and Language,Boys,Urban,High,Yes,None,High,Some,0,0,1
Speech and Language,Girls,Urban,High,,Workshop,Low,None,1,1,1
Speech and Language,Boys,Rural,High,No,Workshop,,None,0,0,1
Speech and Language,Boys,Rural,Low,No,Workshop,Medium,Some,1,0,0
Speech and Language,Boys,Rural,Medium,No,Workshop,High,Some,0,0,1
Speech and Language,Girls,Urban,Medium,No,None,High,Significant,1,1,1
Speech and Language,Boys,Rural,Medium,Yes,Formal Training,Low,Some,1,1,0
Speech and Language,Boys,Urban,High,Yes,Workshop,Medium,Some,1,0,1
Speech and Language,Boys,Urban,Low,No,None,,Significant,1,1,1
Speech and Language,Girls,Rural,High,No,Workshop,Medium,Some,1,1,1
Speech and Language,Boys,Rural,High,Yes,Workshop,High,,0,0,1
Speech and Language,Boys,,Medium,No,None,High,Some,0,0,0
Speech and Language,Boys,Urban,High,No,Formal Training,Medium,Some,0,0,1
Speech and Language,Boys,Rural,Medium,Yes,Formal Training,High,Significant,1,0,1
Speech and Language,Girls,,Low,No,None,Medium,Some,1,0,1
Speech and Language,Boys,Rural,Medium,No,Formal Training,High,Some,0,0,1
Speech and Language,Girls,Urban,Low,,None,Low,Significant,1,1,0
Speech and Language,Girls,Urban,Medium,Yes,None,Medium,,1,1,0
Speech and Language,Girls,Urban,High,Yes,None,High,,1,1,1
Speech and Language,Boys,Urban,High,No,Formal Training,High,None,0,0,1
Speech and Language,Girls,Urban,Low,Yes,None,Low,Significant,0,0,0
Speech and Language,Boys,Urban,Low,Yes,Workshop,Medium,Significant,0,0,0
Speech and Language,Girls,Rural,Low,Yes,Formal Training,High,Some,1,0,1
Speech and Language,Girls,Urban,Medium,Yes,Formal Training,Low,None,0,0,0
Speech and Language,Girls,Urban,Medium,Yes,Formal Training,High,Some,0,0,1
Speech and Language,Girls,Urban,Low,Yes,Formal Training,Medium,None,1,0,0
Speech and Language,Girls,Rural,High,No,Workshop,High,Significant,1,1,1
Speech and Language,Girls,Urban,Medium,No,Formal Training,High,Significant,1,0,0
Speech and Language,Girls,Urban,Medium,Yes,Formal Training,High,None,0,0,1
Speech and Language,Girls,Rural,Medium,Yes,None,High,,0,0,0
Speech and Language,Boys,Urban,Low,,Formal Training,Low,Some,1,1,1
Speech and Language,Boys,,Low,No,Workshop,Low,Some,0,0,1
Speech and Language,Girls,Urban,Low,No,Workshop,Medium,Some,0,0,1
Speech and Language,Girls,Urban,Low,No,Workshop,Low,Significant,0,0,0
Speech and Language,Girls,,Low,,Workshop,Low,,0,0,0
Speech and Language,Boys,Rural,High,No,Formal Training,Medium,Significant,0,0,0
Speech and Language,Girls,Rural,High,No,Formal Training,Low,Significant,0,0,1
Speech and Language,Boys,Rural,Low,No,Workshop,,Significant,0,0,0
Speech and Language,Boys,Urban,Medium,No,Workshop,Medium,Some,0,0,1
Speech and Language,Boys,Urban,Low,No,Formal Training,Medium,Some,1,1,0
Locomotor Disability,Boys,Urban,High,Yes,Workshop,Medium,Some,1,0,1
Locomotor Disability,Girls,Rural,High,Yes,None,High,Some,1,1,1
Locomotor Disability,Boys,Urban,Medium,Yes,Workshop,,Significant,1,0,0
Locomotor Disability,Boys,Urban,High,Yes,Workshop,Medium,Significant,1,0,1
Locomotor Disability,Boys,,Low,No,None,Medium,Significant,1,0,0
Locomotor Disability,Girls,,Medium,No,None,Medium,None,1,1,1
Locomotor Disability,Boys,Rural,Low,Yes,Formal Training,High,Some,1,0,1
Locomotor Disability,Boys,,Low,,Formal Training,High,Some,0,0,1
Locomotor Disability,Boys,Rural,Medium,Yes,None,Low,Significant,1,0,0
Locomotor Disability,Girls,Urban,Low,,None,Low,Some,1,0,1
Locomotor Disability,Boys,Urban,High,Yes,Formal Training,Medium,Some,0,0,1
Locomotor Disability,Boys,Urban,Low,,Workshop,High,Significant,0,0,0
Locomotor Disability,Boys,Urban,Medium,No,None,High,None,0,0,0
Locomotor Disability,Boys,,Medium,Yes,Formal Training,High,None,1,0,1
Locomotor Disability,Girls,Urban,Medium,No,Workshop,,None,1,1,1
Locomotor Disability,Boys,Urban,Low,Yes,None,Low,Significant,0,0,0
Locomotor Disability,Girls,Rural,Medium,,Workshop,Medium,Some,1,0,0
Locomotor Disability,Girls,Urban,Medium,Yes,Formal Training,Low,Significant,1,0,1
Locomotor Disability,Girls,Rural,Low,Yes,None,Low,Significant,0,0,0
Locomotor Disability,Boys,Urban,High,No,Workshop,Medium,Some,1,0,0
Locomotor Disability,Girls,Urban,Low,No,None,,None,1,0,0
Locomotor Disability,Boys,Urban,Medium,No,Workshop,Low,None,1,0,1
Locomotor Disability,Girls,Rural,Medium,Yes,Formal Training,High,Significant,1,1,1
Locomotor Disability,Girls,Rural,Low,No,Formal Training,Low,None,1,0,1
Locomotor Disability,Girls,Rural,High,Yes,None,Medium,Significant,1,1,0
Locomotor Disability,Girls,Rural,Medium,No,Workshop,Medium,Significant,0,0,1
Locomotor Disability,Girls,Urban,Medium,No,None,Low,Some,1,1,0
Locomotor Disability,Girls,Rural,Medium,,None,High,Some,1,0,0
Locomotor Disability,Girls,Urban,Low,Yes,Workshop,,Some,1,0,1
Locomotor Disability,Girls,Urban,Medium,No,Workshop,Low,Significant,0,0,0
Locomotor Disability,Boys,Rural,High,No,Workshop,,Some,1,0,1
Locomotor Disability,Boys,Rural,Medium,Yes,Formal Training,Medium,None,0,0,0
Locomotor Disability,Girls,Rural,Medium,No,None,Low,,1,1,0
Locomotor Disability,Girls,Rural,High,Yes,None,High,Significant,0,0,1
Locomotor Disability,Girls,Rural,Medium,No,Formal Training,Low,Significant,0,0,0
Locomotor Disability,Boys,Rural,Low,Yes,Workshop,Medium,Some,1,1,1
Locomotor Disability,Girls,Rural,Low,Yes,Formal Training,Medium,Significant,0,0,0
Locomotor Disability,Boys,Rural,Low,No,Formal Training,Medium,,1,0,0
Locomotor Disability,Boys,Urban,High,Yes,Formal Training,Medium,None,1,1,0
Locomotor Disability,Boys,Rural,Medium,Yes,None,Medium,None,1,0,1
Mental illness,Boys,Rural,Low,Yes,Formal Training,Low,Some,0,0,1
Mental illness,Girls,Urban,High,Yes,None,Low,Significant,1,1,1
Mental illness,Boys,Rural,Medium,Yes,None,Low,Significant,0,0,1
Mental illness,Boys,Urban,High,Yes,None,Low,None,0,0,1
Mental illness,Boys,Urban,Low,No,Workshop,Medium,Significant,0,0,1
Mental illness,Girls,Rural,Low,Yes,None,High,None,0,0,1
Mental illness,Boys,Urban,Low,Yes,None,Low,Some,0,0,1
Mental illness,Boys,Urban,High,No,Workshop,High,None,0,0,1
Mental illness,Boys,Urban,High,No,None,Low,Significant,0,0,1
Mental illness,Girls,Urban,Low,No,Formal Training,Low,Some,0,0,1
Mental illness,Boys,Rural,High,No,Formal Training,High,None,0,0,1
Mental illness,Boys,Urban,Low,No,None,,None,1,0,0
Mental illness,Boys,,Low,No,Workshop,,Some,1,0,1
Mental illness,Boys,Urban,Medium,,Formal Training,Low,Some,0,0,1
Mental illness,Girls,Urban,High,Yes,Workshop,Low,None,0,0,1
Mental illness,Boys,,Low,Yes,Workshop,High,Significant,0,0,1
Mental illness,Girls,Urban,Low,No,Formal Training,Medium,None,0,0,0
Mental illness,Girls,,High,Yes,Workshop,High,Some,0,0,1
Mental illness,Girls,Rural,Medium,Yes,Formal Training,High,None,0,0,1
Mental illness,Boys,Urban,Medium,Yes,Workshop,Medium,Some,0,0,0
Mental illness,Girls,Urban,Low,No,Formal Training,High,Some,1,1,0
Mental illness,Boys,Rural,High,No,None,Medium,Significant,0,0,0
Mental illness,Girls,Urban,Medium,Yes,Formal Training,Low,Some,0,0,0
Mental illness,Girls,Urban,High,No,Formal Training,Medium,Some,0,0,1
Mental illness,Girls,Urban,High,Yes,Formal Training,Low,Significant,0,0,0
Mental illness,Girls,Rural,Low,Yes,Formal Training,High,Some,0,0,1
Mental illness,Girls,Rural,Medium,Yes,Workshop,High,Significant,0,0,0
Mental illness,Girls,Rural,Low,,None,Low,Significant,0,0,0
Mental illness,Girls,Urban,Medium,No,Formal Training,High,Some,1,1,1
Mental illness,Girls,Urban,Medium,No,Workshop,Medium,Some,0,0,1
Mental illness,Boys,,Medium,No,None,Low,,0,0,0
Mental illness,Boys,Rural,Medium,Yes,None,High,Significant,0,0,0
Mental illness,Girls,Rural,Medium,No,None,Low,None,1,0,0
Mental illness,Girls,Rural,High,Yes,None,Medium,Some,0,0,1
Mental illness,Girls,,Low,No,Formal Training,Medium,None,0,0,0
Mental illness,Boys,Rural,High,Yes,Formal Training,High,Significant,1,1,1
Mental illness,Girls,Urban,Medium,Yes,Workshop,Medium,None,0,0,0
Mental illness,Boys,Rural,Low,,Workshop,Low,Significant,1,1,1
Mental illness,Boys,Urban,Medium,No,Workshop,Medium,Some,0,0,0
Mental illness,Boys,Rural,Low,No,None,Low,Some,0,0,1
Specific Learning Disabilities,Boys,Rural,High,No,None,Low,Significant,0,0,0
Specific Learning Disabilities,Girls,,Low,No,Formal Training,Medium,Some,1,0,1
Specific Learning Disabilities,Boys,Rural,Low,Yes,None,High,,1,0,1
Specific Learning Disabilities,Boys,Urban,Low,No,None,,Some,1,1,0
Specific Learning Disabilities,Boys,Rural,Low,No,None,Low,Some,1,0,0
Specific Learning Disabilities,Girls,Urban,Low,Yes,Workshop,Low,Significant,0,0,0
Specific Learning Disabilities,Boys,,Medium,Yes,Workshop,Medium,None,1,0,0
Specific Learning Disabilities,Boys,Urban,Low,Yes,Formal Training,High,None,1,0,1
Specific Learning Disabilities,Boys,Urban,Low,No,None,High,Some,0,0,1
Specific Learning Disabilities,Girls,Rural,High,Yes,None,Low,None,1,1,1
Specific Learning Disabilities,Boys,Urban,Low,Yes,Formal Training,Low,None,0,0,1
Specific Learning Disabilities,Boys,Urban,High,Yes,None,High,Some,1,1,1
Specific Learning Disabilities,Boys,Urban,Medium,No,None,Medium,Some,1,1,0
Specific Learning Disabilities,Boys,,Low,Yes,Workshop,,None,1,0,0
Specific Learning Disabilities,Girls,Rural,High,No,Formal Training,Low,Significant,0,0,1
Specific Learning Disabilities,Boys,Rural,High,No,Formal Training,High,Some,1,0,1
Specific Learning Disabilities,Girls,Rural,Medium,Yes,Formal Training,Medium,Significant,1,0,0
Specific Learning Disabilities,Girls,Urban,Low,Yes,Formal Training,High,None,1,1,0
Specific Learning Disabilities,Girls,Urban,Low,No,Workshop,Medium,Some,0,0,0
Specific Learning Disabilities,Boys,Rural,High,Yes,Workshop,Medium,Significant,1,0,1
Specific Learning Disabilities,Girls,Urban,Low,Yes,None,Medium,Some,1,1,1
Specific Learning Disabilities,Boys,Urban,High,No,None,Low,None,0,0,0
Specific Learning Disabilities,Girls,Urban,Low,No,None,High,Significant,0,0,1
Specific Learning Disabilities,Girls,Rural,High,Yes,None,High,None,1,1,1
Specific Learning Disabilities,Girls,Rural,Low,No,Workshop,Medium,None,1,1,0
Specific Learning Disabilities,Girls,Urban,Medium,Yes,Formal Training,Low,Some,0,0,1
Specific Learning Disabilities,Girls,Rural,Low,Yes,Workshop,Low,Significant,0,0,1
Specific Learning Disabilities,Girls,Rural,Low,Yes,None,High,None,0,0,1
Specific Learning Disabilities,Girls,Rural,Medium,No,Workshop,Low,None,1,1,1
Specific Learning Disabilities,Girls,Rural,Low,,Formal Training,Low,Significant,1,1,0
Specific Learning Disabilities,Boys,Rural,Medium,Yes,Formal Training,Medium,,1,0,0
Specific Learning Disabilities,Boys,Urban,Low,Yes,Workshop,Low,None,1,1,0
Specific Learning Disabilities,Girls,Rural,High,No,Workshop,Medium,Significant,1,1,1
Specific Learning Disabilities,Girls,Urban,High,No,Workshop,High,Significant,0,0,0
Specific Learning Disabilities,Girls,Urban,Low,No,None,Low,Significant,0,0,0
Specific Learning Disabilities,Boys,Rural,Low,No,Workshop,High,Significant,0,0,0
Specific Learning Disabilities,Girls,Urban,Low,No,Workshop,High,Some,1,1,1
Specific Learning Disabilities,Boys,Urban,High,Yes,Workshop,,Significant,1,0,1
Specific Learning Disabilities,Boys,Urban,Low,No,Formal Training,Low,Some,0,0,0
Specific Learning Disabilities,Boys,Rural,High,No,Formal Training,High,Some,0,0,1
Cerebral palsy,Boys,Rural,Medium,No,None,Low,Some,0,0,1
Cerebral palsy,Girls,Urban,High,Yes,None,Medium,None,1,1,1
Cerebral palsy,Boys,Rural,High,No,Formal Training,,Some,0,0,1
Cerebral palsy,Boys,Rural,Medium,No,Formal Training,Low,Some,0,0,0
Cerebral palsy,Boys,Rural,High,Yes,Formal Training,High,None,0,0,1
Cerebral palsy,Girls,Rural,Low,No,Workshop,,None,0,0,0
Cerebral palsy,Boys,Urban,Low,,Workshop,Low,None,0,0,1
Cerebral palsy,Boys,Urban,High,Yes,Formal Training,High,Significant,1,0,1
Cerebral palsy,Boys,Rural,Low,Yes,Workshop,High,None,0,0,1
Cerebral palsy,Girls,Rural,High,Yes,Workshop,Medium,None,0,0,0
Cerebral palsy,Boys,,Low,,None,High,Some,0,0,1
Cerebral palsy,Boys,Urban,Low,No,Formal Training,,None,0,0,0
Cerebral palsy,Boys,Rural,High,Yes,Formal Training,High,Significant,0,0,1
Cerebral palsy,Boys,Urban,Low,,Workshop,Low,None,0,0,0
Cerebral palsy,Girls,Rural,High,No,Formal Training,Medium,Significant,0,0,0
Cerebral palsy,Boys,Rural,Low,Yes,None,Medium,None,0,0,1
Cerebral palsy,Girls,Urban,Low,No,None,Medium,None,0,0,0
Cerebral palsy,Girls,Urban,Medium,No,None,Low,,0,0,0
Cerebral palsy,Girls,Rural,Medium,No,Formal Training,Low,None,1,0,1
Cerebral palsy,Boys,Rural,High,Yes,Formal Training,Low,Significant,0,0,0
Cerebral palsy,Girls,Urban,Medium,Yes,Formal Training,Low,Significant,0,0,0
Cerebral palsy,Boys,Rural,High,Yes,Formal Training,Low,,0,0,1
Cerebral palsy,Girls,Urban,Medium,,Formal Training,Medium,Significant,0,0,1
Cerebral palsy,Girls,Rural,Low,,None,Low,None,0,0,1
Cerebral palsy,Girls,,High,Yes,Workshop,Medium,Some,0,0,1
Cerebral palsy,Girls,Urban,High,Yes,None,Low,Some,0,0,0
Cerebral palsy,Girls,Urban,Low,No,Formal Training,High,Some,1,0,0
Cerebral palsy,Girls,Rural,High,No,None,Medium,None,0,0,1
Cerebral palsy,Girls,Rural,High,Yes,Formal Training,High,Significant,1,1,0
Cerebral palsy,Girls,Urban,Medium,Yes,Formal Training,Medium,None,0,0,1
Cerebral palsy,Boys,Rural,High,Yes,None,High,Some,1,0,1
Cerebral palsy,Boys,Urban,Low,Yes,Formal Training,Low,None,1,1,1
Cerebral palsy,Girls,Urban,Medium,No,Workshop,Low,None,0,0,0
Cerebral palsy,Girls,Rural,Medium,No,Formal Training,Low,Significant,1,0,1
Cerebral palsy,Girls,Rural,Low,No,Workshop,Medium,Significant,0,0,1
Cerebral palsy,Boys,Urban,Low,No,Workshop,High,Some,1,0,1
Cerebral palsy,Girls,Rural,Medium,Yes,Formal Training,Low,None,0,0,0
Cerebral palsy,Boys,Rural,High,Yes,None,High,None,0,0,1
Cerebral palsy,Boys,Urban,Medium,Yes,Workshop,High,Significant,0,0,1
Cerebral palsy,Boys,Urban,Low,No,None,,None,1,0,1
Autism Spectrum Disorder,Boys,Rural,Medium,Yes,Workshop,Low,None,0,0,0
Autism Spectrum Disorder,Girls,Urban,Low,No,Formal Training,High,None,0,0,1
Autism Spectrum Disorder,Boys,Urban,Medium,,Formal Training,Low,Significant,0,0,0
Autism Spectrum Disorder,Boys,Rural,High,Yes,Workshop,,Some,1,1,0
Autism Spectrum Disorder,Boys,Urban,Medium,Yes,Formal Training,Low,Some,1,1,0
Autism Spectrum Disorder,Girls,Urban,Medium,Yes,Workshop,Medium,None,0,0,0
Autism Spectrum Disorder,Boys,Rural,Low,No,Formal Training,High,Some,1,1,1
Autism Spectrum Disorder,Boys,Rural,Low,Yes,None,High,Significant,0,0,1
Autism Spectrum Disorder,Boys,Urban,Low,No,Formal Training,Medium,Significant,0,0,1
Autism Spectrum Disorder,Girls,,Medium,Yes,None,High,Some,0,0,0
Autism Spectrum Disorder,Boys,Rural,High,No,Formal Training,Low,Some,0,0,0
Autism Spectrum Disorder,Boys,Rural,Low,No,None,High,None,0,0,1
Autism Spectrum Disorder,Boys,Rural,Low,Yes,Formal Training,Low,Some,0,0,0
Autism Spectrum Disorder,Boys,Rural,Medium,No,None,,None,0,0,1
Autism Spectrum Disorder,Girls,Urban,Low,No,Workshop,,None,1,1,1
Autism Spectrum Disorder,Boys,Rural,High,Yes,Workshop,High,Significant,0,0,1
Autism Spectrum Disorder,Girls,Rural,High,,None,High,Significant,0,0,0
Autism Spectrum Disorder,Girls,Urban,Low,Yes,Formal Training,High,Significant,0,0,0
Autism Spectrum Disorder,Girls,Rural,Low,No,None,Medium,Significant,1,0,1
Autism Spectrum Disorder,Boys,Urban,Medium,Yes,Formal Training,Medium,Some,0,0,0
Autism Spectrum Disorder,Girls,Rural,High,Yes,Workshop,,Significant,0,0,1
Autism Spectrum Disorder,Boys,Rural,High,No,Formal Training,Low,Some,1,1,1
Autism Spectrum Disorder,Girls,Rural,Low,No,Workshop,Medium,Significant,0,0,1
Autism Spectrum Disorder,Girls,Urban,Medium,No,Formal Training,High,Some,0,0,1
Autism Spectrum Disorder,Girls,Urban,High,No,Formal Training,High,None,1,0,0
Autism Spectrum Disorder,Girls,Rural,High,No,Formal Training,Medium,Some,0,0,0
Autism Spectrum Disorder,Girls,Urban,Medium,Yes,None,,Some,0,0,0
Autism Spectrum Disorder,Girls,Urban,Medium,No,None,Medium,,0,0,0
Autism Spectrum Disorder,Girls,Urban,High,Yes,Workshop,Low,Some,0,0,1
Autism Spectrum Disorder,Girls,Urban,High,Yes,Workshop,Low,None,0,0,1
Autism Spectrum Disorder,Boys,Urban,Medium,No,None,High,,0,0,1
Autism Spectrum Disorder,Boys,Urban,High,Yes,Workshop,Medium,Significant,0,0,1
Autism Spectrum Disorder,Girls,Rural,Low,Yes,None,Low,None,0,0,0
Autism Spectrum Disorder,Girls,Rural,Low,Yes,Formal Training,Medium,Some,1,0,0
Autism Spectrum Disorder,Girls,Urban,Medium,Yes,Workshop,High,None,0,0,1
Autism Spectrum Disorder,Boys,Rural,Medium,No,Workshop,Low,Significant,0,0,0
Autism Spectrum Disorder,Girls,Rural,Medium,Yes,None,Low,Some,1,0,0
Autism Spectrum Disorder,Boys,Rural,Low,No,Workshop,Low,Significant,1,0,1
Autism Spectrum Disorder,Boys,Rural,High,No,Workshop,High,Some,0,0,0
Autism Spectrum Disorder,Boys,Urban,Low,Yes,Formal Training,Medium,None,1,0,0
Intellectual Disability,Boys,Rural,High,No,Workshop,Low,Significant,1,0,1
Intellectual Disability,Girls,Rural,Low,No,Formal Training,High,Significant,1,0,1
